2014-03-03 15:34:33 status config-files hplip 3.12.2-1ubuntu3
2014-03-03 15:34:33 status config-files hplip 3.12.2-1ubuntu3
2014-03-03 15:34:33 status config-files hplip 3.12.2-1ubuntu3
2014-03-03 15:34:34 status config-files hplip 3.12.2-1ubuntu3
2014-03-03 15:34:34 status config-files hplip 3.12.2-1ubuntu3
2014-03-03 15:34:34 status not-installed hplip <none>
2014-03-03 15:34:34 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 15:34:34 remove libabiword-2.9 2.9.2+svn20120213-1 <none>
2014-03-03 15:34:34 purge libabiword-2.9 2.9.2+svn20120213-1 <none>
2014-03-03 15:34:34 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 15:34:34 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 15:34:34 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 15:34:34 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 15:34:34 status config-files libabiword-2.9 2.9.2+svn20120213-1
2014-03-03 15:34:34 status not-installed libabiword-2.9 <none>
2014-03-03 15:34:34 status config-files libappindicator3-1 0.4.92-0ubuntu1
2014-03-03 15:34:34 remove libappindicator3-1 0.4.92-0ubuntu1 <none>
2014-03-03 15:34:34 purge libappindicator3-1 0.4.92-0ubuntu1 <none>
2014-03-03 15:34:34 status config-files libappindicator3-1 0.4.92-0ubuntu1
2014-03-03 15:34:34 status config-files libappindicator3-1 0.4.92-0ubuntu1
2014-03-03 15:34:34 status config-files libappindicator3-1 0.4.92-0ubuntu1
2014-03-03 15:34:35 status config-files libappindicator3-1 0.4.92-0ubuntu1
2014-03-03 15:34:35 status config-files libappindicator3-1 0.4.92-0ubuntu1
2014-03-03 15:34:35 status not-installed libappindicator3-1 <none>
2014-03-03 15:34:35 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:34:35 remove libcupsimage2 1.5.2-9ubuntu1 <none>
2014-03-03 15:34:35 purge libcupsimage2 1.5.2-9ubuntu1 <none>
2014-03-03 15:34:35 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:34:35 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:34:35 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:34:35 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:34:35 status config-files libcupsimage2 1.5.2-9ubuntu1
2014-03-03 15:34:35 status not-installed libcupsimage2 <none>
2014-03-03 15:34:35 status config-files libdbusmenu-glib4 0.6.1-0ubuntu3
2014-03-03 15:34:36 remove libdbusmenu-glib4 0.6.1-0ubuntu3 <none>
